epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.259,1.07947,4.22183,1.44441,0.65415,0.10397,0.09649,0.06183,1.0758,3.04092,1.5227,0.00332616,0.00332616,0.00332616
2,400.774,1.05895,2.65767,1.38488,0.61295,0.14976,0.1553,0.09812,1.12416,2.70942,1.58287,0.00659357,0.00659357,0.00659357
3,604.373,1.15916,2.69666,1.45481,0.3919,0.07323,0.02678,0.01255,1.798,4.33381,2.23183,0.00979497,0.00979497,0.00979497
4,808.529,1.26611,2.8851,1.5483,0.45978,0.11239,0.08133,0.04914,1.35297,3.21315,1.81126,0.009703,0.009703,0.009703
5,1013.16,1.2393,2.70223,1.52294,0.53312,0.13436,0.14211,0.08224,1.33107,2.88448,1.78286,0.009604,0.009604,0.009604
6,1217.1,1.18856,2.5272,1.48062,0.5102,0.17726,0.15086,0.09195,1.21775,2.69476,1.64705,0.009505,0.009505,0.009505
7,1420.65,1.15687,2.40969,1.45633,0.48686,0.22298,0.22206,0.1341,1.20059,2.53022,1.64599,0.009406,0.009406,0.009406
8,1624.27,1.13685,2.3306,1.44526,0.50411,0.25324,0.23965,0.15242,1.11963,2.34182,1.56077,0.009307,0.009307,0.009307
9,1829.5,1.11552,2.24734,1.42791,0.55921,0.25195,0.23489,0.15796,1.12964,2.29005,1.55933,0.009208,0.009208,0.009208
10,2034.51,1.08763,2.16957,1.40736,0.5079,0.26767,0.2621,0.17235,1.14067,2.20546,1.5879,0.009109,0.009109,0.009109
11,2239.7,1.08472,2.12083,1.39795,0.48138,0.33682,0.29749,0.20563,1.06128,2.1116,1.50368,0.00901,0.00901,0.00901
12,2444.1,1.06021,2.04845,1.38586,0.47472,0.32693,0.31169,0.20276,1.07949,2.10356,1.52776,0.008911,0.008911,0.008911
13,2648.5,1.05603,2.03654,1.3798,0.47538,0.31799,0.29112,0.19809,1.06055,2.08584,1.50708,0.008812,0.008812,0.008812
14,2852.83,1.04141,1.98546,1.36521,0.4697,0.28532,0.27857,0.184,1.09519,2.07695,1.53171,0.008713,0.008713,0.008713
15,3056.97,1.02686,1.94202,1.35556,0.43735,0.35139,0.32103,0.21914,1.03998,2.0028,1.4819,0.008614,0.008614,0.008614
16,3261.35,1.02015,1.90768,1.35299,0.43559,0.34635,0.29912,0.20311,1.03883,2.00004,1.48826,0.008515,0.008515,0.008515
17,3465.86,1.00794,1.89052,1.34279,0.57966,0.37473,0.36792,0.24915,1.01211,1.86313,1.44078,0.008416,0.008416,0.008416
18,3670.22,0.99409,1.8336,1.33237,0.56623,0.31405,0.37319,0.25252,1.03577,1.9188,1.47122,0.008317,0.008317,0.008317
19,3874.84,0.98967,1.81743,1.32577,0.55123,0.34406,0.38513,0.25142,0.99825,1.81791,1.43542,0.008218,0.008218,0.008218
20,4080.24,0.98518,1.78307,1.32442,0.49988,0.38983,0.37667,0.25052,0.98615,1.81244,1.41191,0.008119,0.008119,0.008119
21,4285.73,0.97992,1.7578,1.31708,0.52643,0.40408,0.40201,0.26761,1.00685,1.83101,1.41634,0.00802,0.00802,0.00802
22,4491.4,0.9604,1.7303,1.30552,0.5305,0.3681,0.37357,0.26156,1.00612,1.81212,1.43534,0.007921,0.007921,0.007921
23,4694.68,0.96082,1.70396,1.30467,0.50916,0.41111,0.38726,0.2686,0.97295,1.76561,1.40772,0.007822,0.007822,0.007822
24,4899.5,0.95204,1.69966,1.29911,0.5402,0.42399,0.41915,0.28827,0.96529,1.79661,1.4057,0.007723,0.007723,0.007723
25,5104.55,0.93861,1.65344,1.28834,0.49963,0.41237,0.40881,0.27783,0.9694,1.77645,1.39061,0.007624,0.007624,0.007624
26,5309.84,0.9362,1.63681,1.29089,0.47416,0.46039,0.43099,0.30007,0.95818,1.6913,1.40454,0.007525,0.007525,0.007525
